ID,Name,Capital,Buy Motivation,Resell Motivation,Loyalty,KrpytoLove,Daytime,Musicians Per Session,Credit History,NFT Wallet,
9001518,Yusuf Pergande-Hecker,10007.1,0.0047073,0.00543505,0.0657173,0,20,24,,0: ,
4830898,Frau Irmhild auch Schlauchin,9992.87,0.0039143,0.000264381,0.0905716,1,20,24,,0: ,
4446590,Reinhard Löffler-Bolzmann,10026.5,0.0101996,0.00618595,0.0967079,0,23,20,,0: ,
5653166,Nermin Seifert,9990.95,0.0087004,0.00608351,0.174583,0,20,37,,0: ,
7139355,Prof. Gert Schenk,9999.71,0.00546984,0.00378875,0.107549,0,19,45,,0: ,
3019774,Claire Mülichen,9963.36,0.0068091,0.00162351,0.0281903,0,11,23,,0: ,
8666036,Darko Wohlgemut-Kühnert,10011,0.00137609,0.00192518,0.147069,1,13,21,,0: ,
5359955,Hans-Joachim Zänker B.Eng.,9989.06,0.000292033,0.00353778,0.00720355,0,8,23,,0: ,
7227108,Univ.Prof. Ahmed Schacht,9976.9,0.00166773,0.00219229,0.0750564,1,15,14,,0: ,
3941688,Emmerich Neuschäfer,9982.91,0.000640919,0.00448027,0.0500641,0,15,43,,0: ,
3389885,Kata Klotz B.A.,10018.7,0.00182016,0.00295963,0.0966113,0,23,24,,0: ,
4713783,Konstanze Hermann,9982.74,0.00108679,0.00383942,0.0795457,1,18,16,,0: ,
1271366,Tülay Mude,9994.36,0.00598295,0.0027143,0.0375143,0,10,5,,0: ,
2068014,Herr Heinz-Willi Kusch,10016.9,0.00505701,0.00623518,0.158718,0,13,17,,0: ,
9287868,Maria-Theresia Hornig,9984.19,0.00746575,0.00563567,0.0830016,1,12,19,,0: ,
8780515,Hedi Riehl,9992.44,0.00579639,0.00717338,0.159085,1,19,25,,0: ,
4499667,Friedhilde Krebs,10009.1,0.0050674,0.004348,0.108611,0,20,11,,0: ,
5379159,Silja Klapp-Meister,9991.96,0.00609977,0.00267785,0.0554741,0,17,9,,0: ,
8156987,Edwin Eberhardt,10001.1,0.00504496,0.00299038,0.111808,0,15,9,,0: ,
4946913,Hans Georg Stolze,10003.7,0.00478206,0.00772675,0.0484752,1,7,11,,0: ,
5074231,Friedrich-Wilhelm Hahn B.A.,10026.2,0.000988576,0.00918577,0.0276768,0,8,9,,0: ,
7869533,Siegrid Döring B.Eng.,9982.04,0.00481358,0.00460037,0.0488278,1,14,17,,0: ,
4419097,Silva Wilms,9994.59,0.000952024,0.00468712,0.105403,1,16,27,,0: ,
9902001,Jutta Schönland-Reuter,10004.1,0.00559983,0.00358822,0.0714996,1,18,16,,0: ,
