ID,Name,Capital,Buy Motivation,Resell Motivation,Loyalty,KrpytoLove,Daytime,Musicians Per Session,Credit History,NFT Wallet,
9001518,Yusuf Pergande-Hecker,9787.07,0.0047073,0.00543505,0.0657173,0,20,24,-16.5 -9.9 -27.5 -7.7 -6.6 -7.7 -9.9 -9.9 -8.8 -7.7 -8.8 -22 -11 -9.9 -9.9 -11 -11 -7.7 -5.5 -4.4 -6.6 ,21: 6806850 5980942 6380132 7175611 1506836 8657835 7137645 6128431 7519115 9246268 3153814 7476408 9133169 5335087 8441556 7295713 7930953 1529794 6735990 3949706 6256604 ,
4830898,Frau Irmhild auch Schlauchin,9844.87,0.0039143,0.000264381,0.0905716,1,20,24,-10 -9 -3 -4 -10 -3 -14 -15 -7 -14 -8 -12 -16 -8 -9 -6 ,16: 3597622 8811337 1070315 9142061 7113750 5715357 5765230 6599165 4186183 4283190 1455231 2651928 5357273 4103462 3542997 3417028 ,
4446590,Reinhard Löffler-Bolzmann,9264.22,0.0101996,0.00618595,0.0967079,0,23,20,-11 -14.3 -17.6 -7.7 -23.1 -14.3 -7.7 -17.6 -14.3 -8.8 -20.9 -6.6 -6.6 -6.6 -16.5 -9.9 -20.9 -13.2 -20.9 -7.7 -11 -15.4 -9.9 -5.5 -16.5 -16.5 -20.9 -9.9 -3.3 -17.6 -15.4 -8.8 -20.9 -6.6 -8.8 -7.7 -7.7 -12.1 -7.7 -14.3 -11 -12.1 -12.1 -4.4 -8.8 -9.9 -15.4 -4.4 -6.6 -12.1 -13.2 -5.5 -5.5 -19.8 -20.9 -14.3 -16.5 -11 -15.4 -20.9 -6.6 -13.2 ,62: 7589256 6232828 4391098 4039734 8486719 4166306 6268359 1782923 8544160 5239621 2979913 3668530 5401365 7354768 8613037 3883289 3941265 2280178 7865468 2395323 9552563 4535316 1545614 3247741 2223431 8282713 1328898 9551282 3961068 9757733 8131781 4058946 8010734 8455285 7830651 5255314 7692701 8918007 3155884 4746369 3650755 3193913 7076851 5222479 3283310 7997977 8584098 4670505 7927911 6295056 2123388 4725172 3387909 7678680 9752981 1427359 1634446 9952531 7470196 7881986 4409594 1588505 ,
5653166,Nermin Seifert,9536.66,0.0087004,0.00608351,0.174583,0,20,37,-9.9 -7.7 -16.5 -5.5 -6.6 -9.9 -11 -16.5 -14.3 -14.3 -14.3 -14.3 -12.1 -8.8 -14.3 -13.2 -22 -13.2 -12.1 -11 -8.8 -16.5 -11 -14.3 -4.4 -8.8 -9.9 -6.6 -8.8 -5.5 -0 -19.8 -19.8 -9.9 -12.1 -6.6 -17.6 -11 -8.8 -6.6 ,40: 7925276 4247164 7401889 1505446 5561216 6591211 7081334 6090188 8364670 2282598 6857263 1299262 4107898 5714877 3677768 4040209 1320676 1702481 7083015 5241881 4692366 1261824 9620540 1835719 6714029 1452081 8857108 1805887 2314991 3685435 9540668 9652586 7587224 4070418 4728997 7082074 6626848 8115928 5455019 8710517 ,
7139355,Prof. Gert Schenk,9579.51,0.00546984,0.00378875,0.107549,0,19,45,-11 -8.8 -11 -8.8 -15.4 -5.5 -20.9 -6.6 -4.4 -14.3 -3.3 -7.7 -9.9 -8.8 -6.6 -15.4 -14.3 -9.9 -22 -17.6 -13.2 -2.2 -8.8 -4.4 -16.5 -15.4 -15.4 -9.9 -9.9 -12.1 -23.1 -14.3 -9.9 -9.9 -22 -11 ,36: 4297408 1433291 3011714 8034939 5705399 4706327 9009422 2550761 1835543 7577054 1475023 2274118 5133472 1182627 8139696 9951961 1205678 6744076 3388018 8060268 1333645 3528920 1862842 4198193 7313550 9100347 4003737 9975167 2526434 2492879 3774718 1715230 9890001 2127252 6926943 5108004 ,
3019774,Claire Mülichen,9613.56,0.0068091,0.00162351,0.0281903,0,11,23,-14.3 -3.3 -20.9 -9.9 -5.5 -6.6 -3.3 -7.7 -8.8 -13.2 -14.3 -11 -2.2 -6.6 -9.9 -9.9 -4.4 -7.7 -16.5 -7.7 -17.6 -14.3 -6.6 -14.3 -3.3 -12.1 -5.5 -9.9 -14.3 -4.4 -8.8 -6.6 -12.1 -9.9 -9.9 -9.9 -6.6 ,37: 4848069 6898309 4839668 6188736 7262066 7362362 4790590 9678070 5091563 6126027 6119126 7387528 1802563 6731569 8121724 8260398 3381236 6577087 8187018 5911154 8694679 6333520 3183711 8515535 8775202 1431248 5199225 8564338 1864655 9595532 8207004 5290416 7833577 6301221 9975759 9408299 1747924 ,
8666036,Darko Wohlgemut-Kühnert,9960.96,0.00137609,0.00192518,0.147069,1,13,21,-16 -19 -15 ,3: 4986807 2684243 1713514 ,
5359955,Hans-Joachim Zänker B.Eng.,9983.56,0.000292033,0.00353778,0.00720355,0,8,23,-5.5 ,1: 3927933 ,
7227108,Univ.Prof. Ahmed Schacht,9888.9,0.00166773,0.00219229,0.0750564,1,15,14,-3 -5 -9 -8 -8 -8 -6 -9 -13 -0 -16 -3 ,12: 1112319 1152860 1218608 9835469 4691645 6993503 5725889 9463514 9739328 9570207 1568448 9587380 ,
3941688,Emmerich Neuschäfer,9910.31,0.000640919,0.00448027,0.0500641,0,15,43,-17.6 -11 -3.3 -12.1 -4.4 -4.4 -19.8 ,7: 6322542 8000977 2421086 7367152 6484117 9323094 6717332 ,
